Fill,Fill Start,Fill End,Energy [GeV],Filling Scheme,Stable B. time [h],Turnaround time [h],Injection time [h],Ramp time [h],Particle B1,Particle B2,# Bunches B1,# Bunches B2,# Coll. IP 1/5,# Coll. IP 2,# Coll. IP 8,beta* IP 1 [m],beta* IP 5 [m],beta* IP 2 [m],beta* IP 8 [m],Xing Angle IP 1 [urad],Xing Angle IP 5 [urad],Xing Angle IP 2 [urad],Xing Angle IP 8 [urad],Spectrometer IP 2 [urad],Spectrometer IP 8 [urad],Intensity B1 [1e11 ppb],Intensity B2 [1e11 ppb],Bnch Len B1 [ns],Bnch Len B2 [ns],Emittance B1 H [um],Emittance B1 V [um],Emittance B2 H [um],Emittance B2 V [um],ATLAS Peak Lumi [Hz/ub],CMS Peak Lumi [Hz/ub],ALICE Peak Lumi [Hz/ub],LHCb Peak Lumi [Hz/ub],Lumi Lifetime Start [h],Lumi Lifetime End [h],ATLAS Int. Lumi [1/nb],CMS Int. Lumi [1/nb],ALICE Int. Lumi [1/nb],LHCb Int. Lumi [1/nb]
10369,1731585227000,1731591862000,449.76,,0,0,0.91,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10368,1731581206000,1731585227000,449.76,,0,0,1.0683330000000000,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10367,1731580342000,1731581206000,449.76,,0,0,0.14916699999999999,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10366,1731577747000,1731580342000,449.76,,0,0,0.6694440000000000,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10365,1731575229000,1731577747000,449.76,,0,0,0.6708330000000000,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10364,1731571318000,1731575229000,449.76,,0,0,0.87,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10363,1731562197000,1731571318000,4854.36,,0,0,1.3252780000000000,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10362,1731540107000,1731562197000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,3.46,2.615,1.7316670000000001,0.355,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.17213899999999999,0.169981000000000,0.00000000000000000000,0.00000000000000000000,2.5392830000000002,2.227686000000000,2.5359720000000001,2.084347000000000,0.006438000000000000,0.007615000000000000,0.006438000000000000,0.0015529999999999999,11447.207874000000,12547.556709000000,0.05895600000000000,0.05779800000000000,0.06239400000000000,0.013972999999999999
10361,1731505851000,1731540107000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,3.885,24.989166999999998,2.8291670000000000,0.3552780000000000,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.1578450000000000,0.16658100000000001,0.00000000000000000000,0.00000000000000000000,2.7488340000000000,2.3645719999999999,2.681636000000000,2.0661749999999999,0.006417000000000000,0.006415000000000000,0.006395000000000000,0.0019210000000000000,11164.38661300000,14651.456808999999,0.05670000000000000,0.05570300000000000,0.06158500000000000,0.015213000000000001
10360,1731505838000,1731505851000,0.12,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10359,1731441720000,1731505838000,0.12,,0,0,0,0,PB82,PB82,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,
10358,1731419263000,1731441720000,6799.44,50ns_1240b_1032_1032_557_56bpi_PbPb,1.7177780000000000,4.129722000000000,1.6588890000000001,0.35583300000000001,PB82,PB82,1240,1240,1032,1032,557,0.5,0.5,0.5,1.5,150,150,150,-210,,,0.17288999999999999,0.18242000000000000,0.0000000000000000000,0.00000000000000000000,2.810031000000000,2.2791220000000001,2.7684850000000001,2.0501610000000001,0.006432000000000000,0.006475000000000000,0.006420000000000000,0.0015250000000000001,14269.789583000000,14269.789583000000,0.03642400000000000,0.03570500000000000,0.03719500000000000,0.006915000000000000
